Date,City,Highest AQI,Rounded AQI
2023-02-21,Adelaide,27.72,28
2023-02-21,Hobart,11.88,12
2023-02-22,Sydney,18.48,18
2023-02-22,Perth,11.88,12
2023-02-22,Newcastle,15.84,16
2023-02-22,Melbourne,35.64,36
2023-02-22,Launceston,6.6000000000000005,7
2023-02-22,Wollongong,22.44,22
2023-02-22,Darwin,15.4,15
2023-02-22,Canberra,11.88,12
2023-02-22,Brisbane,79.93333333333334,80
2023-02-22,Adelaide,22.44,22
2023-02-22,Hobart,6.6000000000000005,7
2023-02-23,Wollongong,15.84,16
2023-02-23,Sydney,19.8,20
2023-02-23,Perth,9.35820895522388,9
2023-02-23,Newcastle,26.4,26
2023-02-23,Melbourne,34.32,34
2023-02-23,Launceston,6.6000000000000005,7
2023-02-23,Darwin,15.84,16
2023-02-23,Canberra,22.0,22
2023-02-23,Brisbane,80.66666666666667,81
2023-02-23,Adelaide,22.44,22
2023-02-23,Hobart,6.6000000000000005,7
2023-02-24,Melbourne,36.96,37
2023-02-24,Sydney,18.48,18
2023-02-24,Perth,9.850746268656716,10
2023-02-24,Newcastle,25.08,25
2023-02-24,Launceston,11.88,12
2023-02-24,Wollongong,15.84,16
2023-02-24,Darwin,17.16,17
2023-02-24,Adelaide,22.44,22
2023-02-24,Hobart,6.6000000000000005,7
2023-02-24,Canberra,22.44,22
2023-02-24,Brisbane,82.86666666666667,83
2023-02-25,Wollongong,14.52,15
2023-02-25,Sydney,15.84,16
2023-02-25,Perth,9.35820895522388,9
2023-02-25,Newcastle,19.8,20
2023-02-25,Melbourne,27.72,28
2023-02-25,Darwin,13.2,13
2023-02-25,Canberra,19.8,20
2023-02-25,Brisbane,79.2,79
2023-02-25,Adelaide,22.44,22
2023-02-25,Hobart,17.16,17
2023-02-25,Launceston,11.88,12
2023-02-26,Melbourne,21.12,21
2023-02-26,Wollongong,30.360000000000003,30
2023-02-26,Sydney,19.8,20
2023-02-26,Perth,12.313432835820896,12
2023-02-26,Newcastle,21.12,21
2023-02-26,Launceston,6.6000000000000005,7
2023-02-26,Darwin,26.4,26
2023-02-26,Canberra,38.28,38
2023-02-26,Brisbane,77.73333333333333,78
2023-02-26,Adelaide,27.72,28
2023-02-26,Hobart,6.6000000000000005,7
2023-02-27,Wollongong,27.72,28
2023-02-27,Sydney,30.360000000000003,30
2023-02-27,Perth,11.328358208955224,11
2023-02-27,Newcastle,38.28,38
2023-02-27,Melbourne,21.12,21
2023-02-27,Launceston,6.6000000000000005,7
2023-02-27,Darwin,25.08,25
2023-02-27,Canberra,33.0,33
2023-02-27,Brisbane,79.93333333333334,80
2023-02-27,Adelaide,17.16,17
2023-02-27,Hobart,11.88,12
2023-02-28,Melbourne,30.360000000000003,30
2023-02-28,Wollongong,18.48,18
2023-02-28,Perth,10.835820895522389,11
2023-02-28,Newcastle,26.4,26
2023-02-28,Launceston,11.88,12
2023-02-28,Sydney,22.44,22
2023-02-28,Darwin,33.0,33
2023-02-28,Adelaide,22.44,22
2023-02-28,Hobart,17.16,17
2023-02-28,Canberra,28.05,28
2023-02-28,Brisbane,78.46666666666667,78
2023-03-01,Melbourne,21.12,21
2023-03-01,Wollongong,23.76,24
2023-03-01,Sydney,26.4,26
2023-03-01,Perth,9.850746268656716,10
2023-03-01,Newcastle,30.360000000000003,30
2023-03-01,Launceston,11.88,12
2023-03-01,Hobart,6.6000000000000005,7
2023-03-01,Darwin,23.76,24
2023-03-01,Canberra,30.360000000000003,30
2023-03-01,Brisbane,79.2,79
2023-03-01,Adelaide,11.88,12
2023-03-02,Sydney,21.12,21
2023-03-02,Perth,13.298507462686567,13
2023-03-02,Newcastle,21.12,21
2023-03-02,Melbourne,18.48,18
