Date,Country,City,Pollutant,count,min,max,median,variance,AQI,Rounded AQI
2022-12-31,AU,Canberra,o3,68,4.1,12.2,6.5,48.21,3.201492537313433,3
2022-12-31,AU,Canberra,pm10,71,2.0,20.0,8.0,85.71,5.28,5
2022-12-31,AU,Canberra,pm2.5,70,2.0,44.0,22.0,715.99,29.040000000000003,29
2022-12-31,AU,Darwin,co,65,1.5,6.4,4.3,33.81,23.65,24
2022-12-31,AU,Darwin,no2,69,0.1,1.7,0.3,0.96,0.12374999999999999,0
2022-12-31,AU,Darwin,o3,71,4.7,7.7,6.4,3.58,3.1522388059701494,3
2022-12-31,AU,Darwin,pm10,72,5.0,39.0,19.0,808.17,12.540000000000001,13
2022-12-31,AU,Darwin,pm2.5,60,1.0,40.0,22.0,1116.64,29.040000000000003,29
2022-12-31,AU,Darwin,so2,45,0.1,0.9,0.7,1.16,0.17368421052631577,0
2022-12-31,AU,Hobart,pm10,65,1.0,13.0,6.0,87.27,3.96,4
2022-12-31,AU,Hobart,pm2.5,63,5.0,38.0,9.0,305.9,11.88,12
2022-12-31,AU,Launceston,pm10,108,1.0,10.0,4.0,47.67,2.64,3
2022-12-31,AU,Launceston,pm2.5,43,5.0,17.0,9.0,100.64,11.88,12
2022-12-31,AU,Melbourne,co,80,1.3,3.8,1.8,3.52,9.9,10
2022-12-31,AU,Melbourne,no2,89,1.9,13.0,3.8,45.1,1.5675,2
2022-12-31,AU,Melbourne,o3,92,9.6,39.2,21.6,889.8,10.638805970149255,11
2022-12-31,AU,Melbourne,pm10,120,5.0,31.0,17.0,377.01,11.22,11
2022-12-31,AU,Melbourne,pm2.5,167,2.0,62.0,36.0,1750.46,47.52,48
2022-12-31,AU,Melbourne,so2,79,0.1,2.9,0.7,1.55,0.17368421052631577,0
2022-12-31,AU,Newcastle,no2,52,1.0,9.3,1.9,38.67,0.78375,1
2022-12-31,AU,Newcastle,pm10,143,3.0,60.0,17.0,1132.53,11.22,11
2022-12-31,AU,Newcastle,pm2.5,134,2.0,70.0,18.0,1349.85,23.76,24
2022-12-31,AU,Newcastle,so2,29,1.5,10.0,1.5,62.1,0.3721804511278195,0
2022-12-31,AU,Perth,no2,7,1.2,5.6,1.2,29.96,0.49499999999999994,0
2022-12-31,AU,Perth,o3,68,8.0,35.0,18.0,249.03,8.865671641791044,9
2022-12-31,AU,Perth,pm10,92,5.0,16.0,9.0,81.08,5.94,6
2022-12-31,AU,Perth,pm2.5,91,2.0,23.0,8.0,310.85,10.56,11
2022-12-31,AU,Sydney,co,3,2.3,2.3,2.3,0.0,12.649999999999999,13
